BactReads/HARO202GENDNA1_32_R1_bacterial.fastq.gz	1523314 149.714 51 150
BactReads/HARO202GENDNA1_33_R1_bacterial.fastq.gz	1574398 149.812 51 150
BactReads/HARO202GENDNA1_34_R1_bacterial.fastq.gz	1455643 149.743 51 150
BactReads/HARO202GENDNA1_35_R1_bacterial.fastq.gz	1522345 149.794 51 150
BactReads/HARO202GENDNA1_36_R1_bacterial.fastq.gz	1510032 149.788 51 150
BactReads/HARO202GENDNA1_37_R1_bacterial.fastq.gz	1633284 149.727 51 150
BactReads/HARO202GENDNA1_38_R1_bacterial.fastq.gz	1412475 149.764 51 150
BactReads/HARO202GENDNA1_39_R1_bacterial.fastq.gz	1471945 149.692 51 150
BactReads/HARO202GENDNA1_40_R1_bacterial.fastq.gz	1447603 149.736 51 150
BactReads/HARO202GENDNA1_41_R1_bacterial.fastq.gz	1581368 149.878 51 150
BactReads/HARO202GENDNA1_42_R1_bacterial.fastq.gz	1406715 149.797 51 150
BactReads/HARO202GENDNA1_R1_bacterial.fastq.gz	1474239 149.745 51 150
BactReads/HARO20COMPDNA1_10_R1_bacterial.fastq.gz	1486575 149.728 51 150
BactReads/HARO20COMPDNA1_11_R1_bacterial.fastq.gz	1506324 149.662 51 150
BactReads/HARO20COMPDNA1_12_R1_bacterial.fastq.gz	1429258 149.626 51 150
BactReads/HARO20COMPDNA1_13_R1_bacterial.fastq.gz	1503471 149.719 51 150
BactReads/HARO20COMPDNA1_14_R1_bacterial.fastq.gz	1411369 149.631 51 150
BactReads/HARO20COMPDNA1_15_R1_bacterial.fastq.gz	1383584 149.665 51 150
BactReads/HARO20COMPDNA1_16_R1_bacterial.fastq.gz	1496408 149.642 51 150
BactReads/HARO20COMPDNA1_7_R1_bacterial.fastq.gz	2011500 149.685 51 150
BactReads/HARO20COMPDNA1_8_R1_bacterial.fastq.gz	1770249 149.648 51 150
BactReads/HARO20COMPDNA1_9_R1_bacterial.fastq.gz	1682507 149.724 51 150
BactReads/KONM20COMPDNA1_13_R1_bacterial.fastq.gz	1943143 149.764 51 150
