"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,"Oxygen tolerance","INSDC genome accesion","BV-BRC genome accession","IMG genome accession"
133577,,"KCTC 12976, JCM 15530, DCY 51",1,"Secundilactobacillus kimchicus",Bacteria,"facultative aerobe",GCA_001313205,1302272.4,2734481936
,,,,,,,GCA_001433995,1302272.5,2657245468
158452,CLIP2015/00305,"DSM 107638, CIP 111635, CLIP 2015/00305",1,"Listeria thailandensis",Bacteria,"facultative aerobe",GCA_900576925,2268407.3,8018496712
134256,,"KCCM 42360, NBRC 102074, IMCC 1097",1,"Litorivicinus lipolyticus",Bacteria,"facultative aerobe",GCA_009650135,418701.3,2989314806
134195,,"KCTC 12570, LMG 22578, KMM 6038",1,"Mariniflexile gromovii",Bacteria,"facultative aerobe",GCA_017814435,362523.3,2994935003
478,SM19,"DSM 15157, CCM 7048, CIP 107627, NCIMB 13907",1,"Marinobacter lipolyticus",Bacteria,"facultative aerobe",GCA_000397065,1318628.9,2571042755
459,KW-40,"DSM 11526, ATCC 700074, JCM 21667, CIP 105236, IAM 15212, NBRC 102606, CECT 7200",1,"Marinobacterium iners",Bacteria,"facultative aerobe",GCA_900107855,1122198.3,2634166328
1243,4T19,"DSM 17723, CIP 109816, KACC 11279, JCM 16399",1,"Metabacillus niabensis",Bacteria,"facultative aerobe",GCA_030813165,324854.15,2926518972
134120,PM1,"ATCC BAA-1232, LMG 22953",1,"Methylibium petroleiphilum",Bacteria,"facultative aerobe",GCA_000015725,420662.15,640069319
465,IRE-31,"DSM 11525, ATCC 700072, IRE 31, CIP 105235",1,"Microbulbifer hydrolyticus",Bacteria,"facultative aerobe",GCA_009931115,48074.3,8054081240
,,,,,,,GCA_014202835,48074.4,2861623431
14133,TPT18,"DSM 18602, ATCC BAA-1391, VKM B-2447",1,"Mucilaginibacter gracilis",Bacteria,"facultative aerobe",GCA_003633615,423350.3,2775506711
14134,TPT56,"DSM 18603, ATCC BAA-1394, VKM B-2446",1,"Mucilaginibacter paludis",Bacteria,"facultative aerobe",GCA_000166195,714943.3,2506520020
8628,1642,"DSM 22457, ATCC BAA-1895",1,"Mycoplasmopsis mucosicanis",Bacteria,"facultative aerobe",GCA_006546935,458208.3,2989528489
