,sample_idx,true_class,PF05721.19,PF00115.25,PF01152.27,PF08530.16,PF00042.28,PF02906.19,PF00916.26,PF17773.7,PF05425.18,PF01521.26,PF03063.25,PF13597.11,PF00116.26,PF16870.10,PF02579.22,PF17910.6,PF10371.14,PF00296.26,PF01871.22,PF00510.24
3752,0,0,0.27879648880820246,-0.06527729085628058,0.034122427907131644,0.028831006037830568,-0.26154119758981453,-0.11604781703911955,-0.12522172771519474,-0.4456159322360657,-0.09339029412363566,-0.12291421505299753,0.6181096131947404,0.522512393708312,-0.20826423697172183,-0.20919620309410802,-0.1143742297170185,-0.02578992854049569,-0.14531883652562336,0.37375869267261236,0.7752618952216617,-0.5949637078916975
4561,1,1,0.16212675407676666,0.3143173203951611,0.21739185864900124,0.08246846332391995,0.05706940948635079,0.4306637136229759,-0.19538026520915028,0.30090010099989534,0.11144993216492322,-0.05771010527288698,0.4459880403704209,0.18267962714715805,0.16628526462315385,0.4957832363733419,0.2775357221086607,0.3211310884361654,0.5373462137940047,0.4474306582244385,0.6595323286408828,0.7563526254440074
476,2,0,-0.32944819841010187,-0.03973665033374169,-0.06667258383355748,0.09524948380887831,-0.09784807615267989,-0.07050375472019264,-0.05009462813533683,-0.1998872245766382,-0.05546914069670478,-0.06353984751080595,-0.17678025667508632,-0.40063780907098495,-0.04849544438546958,-0.1519209136227145,-0.06361482137480956,-0.0997503174385904,-0.1346287195678742,-0.22298410945444472,-0.07111079512037594,-0.35904999217352257
1475,3,1,0.1967189867848783,0.1989108007344873,0.14898035658060946,0.0871380977774769,0.031094390521088127,0.4554945305545512,-0.13216566062476404,0.3193674583335428,0.054985944117021866,0.4537829103814525,0.38806998264635345,0.23666908154652996,0.12359538520114388,0.5174614344228039,-0.17869431503051103,0.3514143820558174,0.4171991187414292,0.3273976790133799,-0.16786721925503012,0.8042169365843606
1198,4,0,-0.6045160317267992,-0.12216585820932875,-0.048704054929470636,-0.17781028835018617,0.05144242036354755,-0.10117197497097459,-0.11124234133989837,-0.5408079033645556,-0.22127154518037442,-0.08882096546219503,-0.20473346489527522,0.6319825996220843,0.061384909276727795,-0.18937571912272155,-0.07697674981399164,-0.11220565886540712,-0.09595972497235426,-0.4617763517557498,-0.11109027082268573,0.7530456579568773
3037,5,1,0.205883606890621,0.20109892717465153,0.18551611310670504,0.13110731425127234,0.03607812512194806,0.4805628053581749,0.2410341920899147,0.4182001354956084,0.05310472000297221,0.45198882445065175,-0.19543336690407098,0.3616799914176283,0.08818609883337863,0.4859840252910345,-0.2023810576445271,0.2986332068687282,0.39504475998200644,0.31498933797715745,-0.15759420202663998,0.7383635865637088
3960,6,0,-0.5763967527103321,-0.041127785831447106,-0.2912481612073747,-0.14728433340605354,-0.2384760744648012,-0.07090429878071756,-0.07282358521558482,0.0107490410195066,-0.05898537342807622,-0.06990166843964109,-0.17250789038554484,-0.2945484247957368,-0.056843725491086954,-0.20281763075493767,-0.07919982604901118,-0.1317079839482508,-0.1616707681228845,-0.2995982955456887,-0.07998316398201764,-0.47195758698798124
432,7,1,0.1591233926814091,0.24099170582509452,0.19678784183985318,0.0889124104986115,0.05184313748672035,-0.17610421587898084,0.35071831632989,-1.011657925855529,0.09244346269382353,0.3463044733112796,-0.1300234352166023,0.6643325383387176,0.10315008285593057,0.2686972852529259,0.3045095258384939,-0.10352993267579974,-0.12741220616250107,-0.3792298326469059,-0.12727583107541798,0.5760869132545944
3616,8,0,0.25744497012574363,-0.02607126549788749,-0.3540704329686859,-0.008082555950668714,0.09373596836736346,-0.07661522277742247,-0.002889672209621889,-0.3716067532833338,-0.07717064931925972,-0.05596224875444722,-0.14791910584257736,-0.5051254880610305,-0.06198045988600245,-0.15553543820350393,-0.07383423590979098,-0.15654614673904085,-0.16084777404032027,-0.19889693909968267,-0.1231764799168788,-0.36554986880783086
3682,9,0,0.22293933177059488,-0.040683939785793585,-0.15853558512969332,0.05819899243568565,-0.13668721978572104,-0.07300039366836981,-0.047431633626581905,-0.3463500529106816,-0.05542237800470559,-0.05525159387438302,-0.16589671049148533,-0.5015654571355553,-0.05815499775277941,-0.14230298253268917,-0.040983948200477655,-0.09439963190841859,-0.1773042604102649,-0.18981959339001733,-0.10100257329745987,-0.3758391604339766
